1: kd> .for(r $t0=0; @$t0<dwo(nt!KiServiceLimit); r $t0=@$t0+1){.printf "%y\n", nt!KiServiceTable+(dwo(nt!KiServiceTable+@$t0*4)>>4)}

nt!NtAccessCheck (fffff805`09f3b5a0)
nt!NtAllocateLocallyUniqueId (fffff805`0a2e2a00)
nt!NtAllocateReserveObject (fffff805`0a309e20)
nt!NtAllocateUserPhysicalPages (fffff805`0a4d3880)
nt!NtAllocateUserPhysicalPagesEx (fffff805`0a4d38a0)
nt!NtAllocateUuids (fffff805`0a30f830)
nt!NtAllocateVirtualMemoryEx (fffff805`0a249ac0)
nt!NtAlpcAcceptConnectPort (fffff805`0a2b82c0)
nt!NtAlpcCancelMessage (fffff805`0a315d00)
nt!NtAlpcConnectPort (fffff805`0a2b6670)
nt!NtAlpcConnectPortEx (fffff805`0a2b66f0)
nt!NtAlpcCreatePort (fffff805`0a302350)
nt!NtAlpcCreatePortSection (fffff805`0a2bda10)
nt!NtAlpcCreateResourceReserve (fffff805`0a2ee220)
nt!NtAlpcCreateSectionView (fffff805`0a2bdec0)
nt!NtAlpcCreateSecurityContext (fffff805`0a2ea990)
nt!NtAlpcDeletePortSection (fffff805`0a2bd920)
nt!NtAlpcDeleteResourceReserve (fffff805`0a4c0530)
nt!NtAlpcDeleteSectionView (fffff805`0a2bd7f0)
nt!NtAlpcDeleteSecurityContext (fffff805`0a20d400)
nt!NtAlpcDisconnectPort (fffff805`0a303800)
nt!NtAlpcImpersonateClientContainerOfPort (fffff805`0a4bf5f0)
nt!NtAlpcImpersonateClientOfPort (fffff805`0a20b320)
nt!NtAlpcOpenSenderProcess (fffff805`0a2bb440)
nt!NtAlpcOpenSenderThread (fffff805`0a303d90)
nt!NtAlpcQueryInformation (fffff805`0a2dfc10)
nt!NtAlpcQueryInformationMessage (fffff805`0a2b3520)
nt!NtAlpcRevokeSecurityContext (fffff805`0a4bf830)
nt!NtAlpcSendWaitReceivePort (fffff805`0a209300)
nt!NtAlpcSetInformation (fffff805`0a2ed240)
nt!NtAreMappedFilesTheSame (fffff805`0a312710)
nt!NtAssignProcessToJobObject (fffff805`0a1d69b0)
nt!NtAssociateWaitCompletionPacket (fffff805`09e96250)
nt!NtCallEnclave (fffff805`0a001d90)
nt!NtCancelIoFileEx (fffff805`0a2f8df0)
nt!NtCancelSynchronousIoFile (fffff805`0a491a80)
nt!NtCancelTimer2 (fffff805`09f616d0)
nt!NtCancelWaitCompletionPacket (fffff805`09ea7060)
nt!NtCommitComplete (fffff805`09fce510)
nt!NtCommitEnlistment (fffff805`09fce530)
nt!NtCommitRegistryTransaction (fffff805`0a2a0930)
nt!NtCommitTransaction (fffff805`09fce550)
nt!NtCompactKeys (fffff805`0a464dd0)
nt!NtCompareObjects (fffff805`0a2f86c0)
nt!NtCompareSigningLevels (fffff805`0a3123c0)
nt!NtCompareTokens (fffff805`0a2f3e50)
nt!ArbPreprocessEntry (fffff805`0a311d50)
nt!NtCompressKey (fffff805`0a4650b0)
nt!NtConnectPort (fffff805`0a2bc6b0)
nt!NtContinueEx (fffff805`09ff9830)
nt!NtConvertBetweenAuxiliaryCounterAndPerformanceCounter (fffff805`0a557ae0)
nt!NtCreateCrossVmEvent (fffff805`0a54c420)
nt!NtCreateCrossVmMutant (fffff805`0a553ea0)
nt!NtCreateDebugObject (fffff805`0a482ec0)
nt!NtCreateDirectoryObject (fffff805`0a2fca10)
nt!NtCreateDirectoryObjectEx (fffff805`0a2fc9f0)
nt!NtCreateEnclave (fffff805`0a4d0de0)
nt!NtCreateEnlistment (fffff805`09fce570)
nt!NT_DISK::GetPnpProperty (fffff805`0a3198a0)
nt!NtCreateIRTimer (fffff805`0a382950)
nt!NtCreateIoCompletion (fffff805`0a2e2190)
nt!NtCreateJobObject (fffff805`0a1d5a10)
nt!ArbAddReserved (fffff805`0a3197a0)
nt!NtCreateKeyTransacted (fffff805`0a35c9c0)
nt!NtCreateKeyedEvent (fffff805`0a3b9580)
nt!NtCreateLowBoxToken (fffff805`0a261f40)
nt!NtCreateMailslotFile (fffff805`0a1d0860)
nt!NtCreateMutant (fffff805`0a255e70)
nt!NtCreateNamedPipeFile (fffff805`0a306e30)
nt!NtCreatePagingFile (fffff805`0a3aa0d0)
nt!NtCreatePartition (fffff805`0a509e50)
nt!NtCreatePort (fffff805`0a3669c0)
nt!NtCreatePrivateNamespace (fffff805`0a265cb0)
nt!NtCreateProcess (fffff805`0a503fc0)
nt!NtCreateProfile (fffff805`0a557c10)
nt!NtCreateProfileEx (fffff805`0a557cf0)
nt!NtCreateRegistryTransaction (fffff805`0a313170)
nt!NtCreateResourceManager (fffff805`09fce590)
nt!NtCreateSectionEx (fffff805`0a4c4ab0)
nt!NtCreateSemaphore (fffff805`0a241c40)
nt!NtCreateSymbolicLinkObject (fffff805`0a303340)
nt!NtCreateThreadEx (fffff805`0a276020)
nt!NtCreateTimer (fffff805`0a23b970)
nt!NtCreateTimer2 (fffff805`0a2c0120)
nt!NtCreateToken (fffff805`0a51f7c0)
nt!NtCreateTokenEx (fffff805`0a264760)
nt!NtCreateTransaction (fffff805`09fce5b0)
nt!NtCreateTransactionManager (fffff805`09fce5d0)
nt!NtCreateUserProcess (fffff805`0a2733a0)
nt!NtCreateWaitCompletionPacket (fffff805`0a2ef220)
nt!NtCreateWaitablePort (fffff805`0a382190)
nt!NtCreateWnfStateName (fffff805`0a2b3b00)
nt!NtCreateWorkerFactory (fffff805`0a2bd420)
nt!NtDebugActiveProcess (fffff805`0a4830c0)
nt!NtDebugContinue (fffff805`0a483290)
nt!NtDeleteAtom (fffff805`0a2fbc30)
nt!NtDeleteBootEntry (fffff805`0a5500a0)
nt!NtDeleteDriverEntry (fffff805`0a550230)
nt!NtDeleteFile (fffff805`0a3706f0)
nt!NtDeleteKey (fffff805`0a27bf00)
nt!NtDeleteObjectAuditAlarm (fffff805`0a3286b0)
nt!NtDeletePrivateNamespace (fffff805`0a4dc6b0)
nt!NtDeleteValueKey (fffff805`0a27db20)
nt!NtDeleteWnfStateData (fffff805`0a3c0d10)
nt!NtDeleteWnfStateName (fffff805`0a2ae990)
nt!NT_DISK::GetPnpProperty (fffff805`0a3198a0)
nt!NtDisableLastKnownGood (fffff805`0a370c70)
nt!NtDisplayString (fffff805`0a549530)
nt!NtDrawText (fffff805`0a1ad8d0)
nt!NtEnableLastKnownGood (fffff805`0a36fe90)
nt!NtEnumerateBootEntries (fffff805`0a5503c0)
nt!NtEnumerateDriverEntries (fffff805`0a550a10)
nt!NtEnumerateSystemEnvironmentValuesEx (fffff805`0a550ed0)
nt!NtEnumerateTransactionObject (fffff805`09fce5f0)
nt!NtExtendSection (fffff805`0a30fb00)
nt!NtFilterBootOption (fffff805`0a520e50)
nt!NtFilterToken (fffff805`0a267d30)
nt!NT_DISK::GetPnpProperty (fffff805`0a3198a0)
nt!NtFlushBuffersFileEx (fffff805`0a2f3670)
nt!NtFlushInstallUILanguage (fffff805`0a3c3220)
nt!ArbPreprocessEntry (fffff805`0a311d50)
nt!NtFlushKey (fffff805`0a30a760)
nt!NtFlushProcessWriteBuffers (fffff805`09e72060)
nt!NtFlushVirtualMemory (fffff805`0a2c1f70)
nt!ArbPreprocessEntry (fffff805`0a311d50)
nt!NtFreeUserPhysicalPages (fffff805`0a4d38c0)
nt!NtFreezeRegistry (fffff805`0a465290)
nt!NtFreezeTransactions (fffff805`09fce610)
nt!NtGetCachedSigningLevel (fffff805`0a2f9f10)
nt!NtGetCompleteWnfStateSubscription (fffff805`0a2af1a0)
nt!NtGetContextThread (fffff805`0a313030)
nt!NtGetCurrentProcessorNumber (fffff805`0a504870)
nt!NtGetCurrentProcessorNumberEx (fffff805`0a5048d0)
nt!NtGetDevicePowerState (fffff805`0a4ed3f0)
nt!NtGetMUIRegistryInfo (fffff805`0a2f7e90)
nt!NtGetNextProcess (fffff805`0a37e520)
nt!NtGetNextThread (fffff805`0a30b1e0)
nt!NtGetNlsSectionPtr (fffff805`0a3073f0)
nt!NtGetNotificationResourceManager (fffff805`09fce630)
nt!NtGetWriteWatch (fffff805`09eb8330)
nt!NtImpersonateAnonymousToken (fffff805`0a267600)
nt!NtImpersonateThread (fffff805`0a258fa0)
nt!NtInitializeEnclave (fffff805`0a4d1230)
nt!NtInitializeNlsFiles (fffff805`0a2ff6b0)
nt!NtInitializeRegistry (fffff805`0a381170)
nt!NtInitiatePowerAction (fffff805`0a368a60)
nt!NtIsSystemResumeAutomatic (fffff805`0a36df90)
nt!NtIsUILanguageComitted (fffff805`0a365cf0)
nt!NtListenPort (fffff805`0a3c7830)
nt!NtLoadDriver (fffff805`0a374470)
nt!NtLoadEnclaveData (fffff805`0a4d1510)
nt!NtLoadKey (fffff805`0a3757f0)
nt!NtLoadKey2 (fffff805`0a375790)
nt!NtLoadKeyEx (fffff805`0a2999e0)
nt!NtLockFile (fffff805`0a282fd0)
nt!NtLockProductActivationKeys (fffff805`0a3a7840)
nt!NtLockRegistryKey (fffff805`0a3b7170)
nt!NtLockVirtualMemory (fffff805`09ee68a0)
nt!NtMakePermanentObject (fffff805`0a325600)
nt!NtMakeTemporaryObject (fffff805`0a312290)
nt!NtManageHotPatch (fffff805`0a4cbe00)
nt!NtManagePartition (fffff805`0a2a96e0)
nt!NtMapCMFModule (fffff805`0a556b20)
nt!NtMapUserPhysicalPages (fffff805`0a4d3da0)
nt!NtMapViewOfSectionEx (fffff805`0a312170)
nt!NtModifyBootEntry (fffff805`0a551190)
nt!NtModifyDriverEntry (fffff805`0a5511c0)
nt!NtNotifyChangeDirectoryFile (fffff805`0a3054b0)
nt!NtNotifyChangeDirectoryFileEx (fffff805`0a305510)
nt!NtNotifyChangeKey (fffff805`0a1ed600)
nt!NtNotifyChangeMultipleKeys (fffff805`0a1ef510)
nt!NtNotifyChangeSession (fffff805`0a2f0bb0)
nt!NtOpenEnlistment (fffff805`09fce650)
nt!NT_DISK::GetPnpProperty (fffff805`0a3198a0)
nt!NtOpenIoCompletion (fffff805`0a4917d0)
nt!NtOpenJobObject (fffff805`0a1d0d70)
nt!NtOpenKeyEx (fffff805`0a229e90)
nt!NtOpenKeyTransacted (fffff805`0a465330)
nt!NtOpenKeyTransactedEx (fffff805`0a2a03e0)
nt!NtOpenKeyedEvent (fffff805`0a558140)
nt!NtOpenMutant (fffff805`0a2fb700)
nt!NtOpenObjectAuditAlarm (fffff805`0a301050)
nt!NtOpenPartition (fffff805`0a3c50d0)
nt!NtOpenPrivateNamespace (fffff805`0a2660a0)
nt!NtOpenProcessToken (fffff805`0a2845d0)
nt!NtOpenRegistryTransaction (fffff805`0a465350)
nt!NtOpenResourceManager (fffff805`09fce670)
nt!NtOpenSemaphore (fffff805`0a2fc830)
nt!NtOpenSession (fffff805`0a315090)
nt!NtOpenSymbolicLinkObject (fffff805`0a2e1ef0)
nt!NtOpenThread (fffff805`0a1e5540)
nt!NtOpenTimer (fffff805`0a54c210)
nt!NtOpenTransaction (fffff805`09fce690)
nt!NtOpenTransactionManager (fffff805`09fce6b0)
nt!NtPlugPlayControl (fffff805`0a2cf910)
nt!NtPrePrepareComplete (fffff805`09fce6d0)
nt!NtPrePrepareEnlistment (fffff805`09fce6f0)
nt!NtPrepareComplete (fffff805`09fce710)
nt!NtPrepareEnlistment (fffff805`09fce730)
nt!NtPrivilegeCheck (fffff805`0a26c8f0)
nt!NtPrivilegeObjectAuditAlarm (fffff805`0a37f690)
nt!NtPrivilegedServiceAuditAlarm (fffff805`0a30cce0)
nt!NtPropagationComplete (fffff805`09fce750)
nt!NtPropagationFailed (fffff805`09fce770)
nt!NtPssCaptureVaSpaceBulk (fffff805`0a558f40)
nt!NtPulseEvent (fffff805`0a23f060)
nt!NtQueryAuxiliaryCounterFrequency (fffff805`0a557d60)
nt!NtQueryBootEntryOrder (fffff805`0a5511f0)
nt!NtQueryBootOptions (fffff805`0a551470)
nt!NtQueryDebugFilterState (fffff805`09f63430)
nt!NtQueryDirectoryFileEx (fffff805`0a1eeed0)
nt!NtQueryDirectoryObject (fffff805`0a1e6640)
nt!NtQueryDriverEntryOrder (fffff805`0a551770)
nt!NtQueryEaFile (fffff805`0a2f5500)
nt!NtQueryFullAttributesFile (fffff805`0a275190)
nt!NtQueryInformationAtom (fffff805`0a2fa420)
nt!NtQueryInformationByName (fffff805`0a491b70)
nt!NtQueryInformationEnlistment (fffff805`09fce790)
nt!NtQueryInformationJobObject (fffff805`0a247d00)
nt!NtQueryInformationPort (fffff805`0a4bf0d0)
nt!NtQueryInformationResourceManager (fffff805`09fce7b0)
nt!NtQueryInformationTransaction (fffff805`09fce7d0)
nt!NtQueryInformationTransactionManager (fffff805`09fce7f0)
nt!NtQueryInformationWorkerFactory (fffff805`0a1b4980)
nt!NtQueryInstallUILanguage (fffff805`0a30a140)
nt!NtQueryIntervalProfile (fffff805`0a327ca0)
nt!NtQueryIoCompletion (fffff805`0a4918f0)
nt!NtQueryLicenseValue (fffff805`0a1d6e10)
nt!NtQueryMultipleValueKey (fffff805`0a29f2a0)
nt!NtQueryMutant (fffff805`0a553f50)
nt!NtQueryOpenSubKeys (fffff805`0a4654a0)
nt!NtQueryOpenSubKeysEx (fffff805`0a4656c0)
nt!CmpCleanUpHigherLayerKcbCachesPreCallback (fffff805`0a3197b0)
nt!NtQueryQuotaInformationFile (fffff805`0a492eb0)
nt!NtQuerySecurityAttributesToken (fffff805`0a2226a0)
nt!NtQuerySecurityObject (fffff805`0a2e5260)
nt!NtQuerySecurityPolicy (fffff805`0a518bf0)
nt!NtQuerySemaphore (fffff805`0a553b10)
nt!NtQuerySymbolicLinkObject (fffff805`0a2e2330)
nt!NtQuerySystemEnvironmentValue (fffff805`0a551aa0)
nt!NtQuerySystemEnvironmentValueEx (fffff805`0a315230)
nt!NtQuerySystemInformationEx (fffff805`0a2f50f0)
nt!NtQueryTimerResolution (fffff805`0a313770)
nt!NtQueryWnfStateData (fffff805`0a2b0810)
nt!NtQueryWnfStateNameInformation (fffff805`0a2fece0)
nt!NtQueueApcThreadEx (fffff805`0a301b60)
nt!NtRaiseException (fffff805`09ff9af0)
nt!NtRaiseHardError (fffff805`0a5537c0)
nt!NtReadOnlyEnlistment (fffff805`09fce810)
nt!NtRecoverEnlistment (fffff805`09fce830)
nt!NtRecoverResourceManager (fffff805`09fce850)
nt!NtRecoverTransactionManager (fffff805`09fce870)
nt!NtRegisterProtocolAddressInformation (fffff805`09fced90)
nt!NtRegisterThreadTerminatePort (fffff805`0a313480)
nt!NtReleaseKeyedEvent (fffff805`0a558240)
nt!NtReleaseWorkerFactoryWorker (fffff805`09e1d4d0)
nt!NtRemoveIoCompletionEx (fffff805`0a2053f0)
nt!NtRemoveProcessDebug (fffff805`0a483490)
nt!NtRenameKey (fffff805`0a465a00)
nt!NtRenameTransactionManager (fffff805`09fcedb0)
nt!NtReplaceKey (fffff805`0a465f00)
nt!NtReplacePartitionUnit (fffff805`0a1c5380)
nt!NtReplyWaitReplyPort (fffff805`0a4bf200)
nt!NtRequestPort (fffff805`0a308ac0)
nt!NtResetEvent (fffff805`0a306a20)
nt!NtResetWriteWatch (fffff805`0a28a010)
nt!NtRestoreKey (fffff805`0a466290)
nt!NtResumeProcess (fffff805`0a509800)
nt!NtRevertContainerImpersonation (fffff805`0a17d060)
nt!NtRollbackComplete (fffff805`09fce890)
nt!NtRollbackEnlistment (fffff805`09fce8b0)
nt!NtRollbackRegistryTransaction (fffff805`0a3270a0)
nt!NtRollbackTransaction (fffff805`09fce8d0)
nt!NtRollforwardTransactionManager (fffff805`09fcee10)
nt!NtSaveKey (fffff805`0a466540)
nt!NtSaveKeyEx (fffff805`0a31c5e0)
nt!NtSaveMergedKeys (fffff805`0a466560)
nt!NtSecureConnectPort (fffff805`0a2bbfb0)
nt!NtSerializeBoot (fffff805`0a3c5f60)
nt!NtSetBootEntryOrder (fffff805`0a551dc0)
nt!NtSetBootOptions (fffff805`0a551fd0)
nt!NtSetCachedSigningLevel (fffff805`0a31e1d0)
nt!NtSetCachedSigningLevel2 (fffff805`0a31e200)
nt!NtSetContextThread (fffff805`0a508450)
nt!NtSetDebugFilterState (fffff805`0a394820)
nt!NtSetDefaultHardErrorPort (fffff805`0a3c59f0)
nt!NtSetDefaultLocale (fffff805`0a37fac0)
nt!NtSetDefaultUILanguage (fffff805`0a37faa0)
nt!NtSetDriverEntryOrder (fffff805`0a5521e0)
nt!NtSetEaFile (fffff805`0a3248e0)
nt!NT_DISK::GetPnpProperty (fffff805`0a3198a0)
nt!NT_DISK::GetPnpProperty (fffff805`0a3198a0)
nt!NtSetIRTimer (fffff805`09f61b20)
nt!NtSetInformationDebugObject (fffff805`0a483600)
nt!NtSetInformationEnlistment (fffff805`09fce8f0)
nt!NtSetInformationJobObject (fffff805`0a2a7be0)
nt!NtSetInformationKey (fffff805`0a213010)
nt!NtSetInformationResourceManager (fffff805`09fce910)
nt!NtSetInformationSymbolicLink (fffff805`0a4d9cf0)
nt!NtSetInformationToken (fffff805`0a262690)
nt!NtSetInformationTransaction (fffff805`09fce930)
nt!NtSetInformationTransactionManager (fffff805`09fcedd0)
nt!NtSetInformationVirtualMemory (fffff805`0a1dc3f0)
nt!NtSetInformationWorkerFactory (fffff805`09f0e880)
nt!NtSetIntervalProfile (fffff805`0a327f60)
nt!NtSetIoCompletion (fffff805`0a2f1000)
nt!NtSetIoCompletionEx (fffff805`0a213970)
nt!BvgaSetVirtualFrameBuffer (fffff805`09fce250)
nt!NT_DISK::GetPnpProperty (fffff805`0a3198a0)
nt!NT_DISK::GetPnpProperty (fffff805`0a3198a0)
nt!NtSetQuotaInformationFile (fffff805`0a4935c0)
nt!NtSetSecurityObject (fffff805`0a2b44e0)
nt!NtSetSystemEnvironmentValue (fffff805`0a5523f0)
nt!NtSetSystemEnvironmentValueEx (fffff805`0a552710)
nt!NtSetSystemInformation (fffff805`0a24f630)
nt!NtSetSystemPowerState (fffff805`0a596fb0)
nt!NtSetSystemTime (fffff805`0a548dc0)
nt!NtSetThreadExecutionState (fffff805`0a1d1aa0)
nt!NtSetTimer2 (fffff805`09e19f50)
nt!NtSetTimerEx (fffff805`09e17a50)
nt!NtSetTimerResolution (fffff805`0a24f390)
nt!NtSetUuidSeed (fffff805`0a3bac40)
nt!NtSetVolumeInformationFile (fffff805`0a360af0)
nt!NtSetWnfProcessNotificationEvent (fffff805`0a300790)
nt!NtShutdownSystem (fffff805`0a1ada50)
nt!NtShutdownWorkerFactory (fffff805`09f5a290)
nt!NtSignalAndWaitForSingleObject (fffff805`0a15faf0)
nt!NtSinglePhaseReject (fffff805`09fcedf0)
nt!NtStartProfile (fffff805`0a557dd0)
nt!NtStopProfile (fffff805`0a558040)
nt!NtSubscribeWnfStateChange (fffff805`0a2b03b0)
nt!NtSuspendProcess (fffff805`0a509880)
nt!NtSuspendThread (fffff805`0a310d40)
nt!NtSystemDebugControl (fffff805`0a3c3390)
nt!NtTerminateEnclave (fffff805`0a4d1b90)
nt!NtTerminateJobObject (fffff805`0a30bb30)
nt!NtTestAlert (fffff805`0a302320)
nt!NtThawRegistry (fffff805`0a4667a0)
nt!NtThawTransactions (fffff805`09fce950)
nt!NtTraceControl (fffff805`0a223390)
nt!NtTranslateFilePath (fffff805`0a5529c0)
nt!NtUmsThreadYield (fffff805`0a4bae50)
nt!NtUnloadDriver (fffff805`0a4985c0)
nt!NtUnloadKey (fffff805`0a318330)
nt!NtUnloadKey2 (fffff805`0a367410)
nt!NtUnloadKeyEx (fffff805`0a29dbb0)
nt!NtUnlockFile (fffff805`0a2e9de0)
nt!NtUnlockVirtualMemory (fffff805`09eec020)
nt!NtUnmapViewOfSectionEx (fffff805`0a28e200)
nt!NtUnsubscribeWnfStateChange (fffff805`0a2adff0)
nt!NtUpdateWnfStateData (fffff805`0a2aff30)
nt!NT_DISK::GetPnpProperty (fffff805`0a3198a0)
nt!NtWaitForAlertByThreadId (fffff805`0a2ea920)
nt!NtWaitForDebugEvent (fffff805`0a483790)
nt!NtWaitForKeyedEvent (fffff805`0a558600)
nt!NtWaitForWorkViaWorkerFactory (fffff805`09e16650)
nt!NT_DISK::GetPnpProperty (fffff805`0a3198a0)
nt!NT_DISK::GetPnpProperty (fffff805`0a3198a0)
nt!NtLoadKey3 (fffff805`0a1c73b0)

nt!NtQuerySystemInformationEx (fffff805`0a2f50f0)
FFFFF80509FCE6F0
NtQuerySystemInformationEx              	FFFFF8050A2F50F0
